grade_id,student_id,course_id,group_id,assessment_title,assessment_id,type,score,max_score,date
GR01007,S0092,C002,G04,Assignment 2,C002-AS,assignment,90.6,100,2026-03-03
GR01008,S0092,C002,G04,Assignment 3,C002-AS,assignment,63.3,100,2026-03-18
GR01009,S0092,C002,G04,Practical 1,C002-PR,practical,96.0,100,2026-04-01
GR01010,S0092,C002,G04,Practical 2,C002-PR,practical,100.0,100,2026-04-16
GR01011,S0092,C002,G04,Midterm Exam,C002-EX,exam,90.4,100,2026-04-30
GR01012,S0092,C002,G04,Final Exam,C002-EXF,exam,94.5,100,2026-05-15
GR01013,S0093,C005,G07,Quiz 1,C005-QZ,quiz,69.3,100,2025-12-28
GR01014,S0093,C005,G07,Quiz 2,C005-QZ,quiz,64.4,100,2026-01-11
GR01015,S0093,C005,G07,Quiz 3,C005-QZ,quiz,64.2,100,2026-01-25
GR01016,S0093,C005,G07,Quiz 4,C005-QZ,quiz,67.8,100,2026-02-08
GR01017,S0093,C005,G07,Assignment 1,C005-AS,assignment,60.3,100,2026-02-22
GR01018,S0093,C005,G07,Assignment 2,C005-AS,assignment,65.4,100,2026-03-08
GR01019,S0093,C005,G07,Assignment 3,C005-AS,assignment,69.9,100,2026-03-21
GR01020,S0093,C005,G07,Practical 1,C005-PR,practical,77.0,100,2026-04-04
GR01021,S0093,C005,G07,Practical 2,C005-PR,practical,69.5,100,2026-04-18
GR01022,S0093,C005,G07,Midterm Exam,C005-EX,exam,80.2,100,2026-05-02
GR01023,S0093,C005,G07,Final Exam,C005-EXF,exam,68.4,100,2026-05-16
GR01024,S0094,C001,G01,Quiz 1,C001-QZ,quiz,73.5,100,2025-12-16
GR01025,S0094,C001,G01,Quiz 2,C001-QZ,quiz,58.0,100,2025-12-31
GR01026,S0094,C001,G01,Quiz 3,C001-QZ,quiz,65.7,100,2026-01-15
GR01027,S0094,C001,G01,Quiz 4,C001-QZ,quiz,62.5,100,2026-01-30
GR01028,S0094,C001,G01,Assignment 1,C001-AS,assignment,59.4,100,2026-02-14
GR01029,S0094,C001,G01,Assignment 2,C001-AS,assignment,35.4,100,2026-03-01
GR01030,S0094,C001,G01,Assignment 3,C001-AS,assignment,45.4,100,2026-03-16
GR01031,S0094,C001,G01,Practical 1,C001-PR,practical,58.3,100,2026-03-31
GR01032,S0094,C001,G01,Practical 2,C001-PR,practical,67.7,100,2026-04-15
GR01033,S0094,C001,G01,Midterm Exam,C001-EX,exam,57.0,100,2026-04-30
GR01034,S0094,C001,G01,Final Exam,C001-EXF,exam,47.9,100,2026-05-15
GR01035,S0095,C001,G01,Quiz 1,C001-QZ,quiz,72.3,100,2025-12-20
GR01036,S0095,C001,G01,Quiz 2,C001-QZ,quiz,69.1,100,2026-01-04
GR01037,S0095,C001,G01,Quiz 3,C001-QZ,quiz,71.0,100,2026-01-18
GR01038,S0095,C001,G01,Quiz 4,C001-QZ,quiz,73.8,100,2026-02-02
GR01039,S0095,C001,G01,Assignment 1,C001-AS,assignment,81.8,100,2026-02-16
GR01040,S0095,C001,G01,Assignment 2,C001-AS,assignment,57.4,100,2026-03-03
GR01041,S0095,C001,G01,Assignment 3,C001-AS,assignment,65.1,100,2026-03-18
GR01042,S0095,C001,G01,Practical 1,C001-PR,practical,93.2,100,2026-04-01
GR01043,S0095,C001,G01,Practical 2,C001-PR,practical,74.0,100,2026-04-16
GR01044,S0095,C001,G01,Midterm Exam,C001-EX,exam,38.8,100,2026-04-30
GR01045,S0095,C001,G01,Final Exam,C001-EXF,exam,69.3,100,2026-05-15
GR01046,S0096,C004,G06,Quiz 1,C004-QZ,quiz,84.3,100,2025-12-29
GR01047,S0096,C004,G06,Quiz 2,C004-QZ,quiz,80.8,100,2026-01-12
GR01048,S0096,C004,G06,Quiz 3,C004-QZ,quiz,63.8,100,2026-01-26
GR01049,S0096,C004,G06,Quiz 4,C004-QZ,quiz,74.3,100,2026-02-09
GR01050,S0096,C004,G06,Assignment 1,C004-AS,assignment,78.7,100,2026-02-22
GR01051,S0096,C004,G06,Assignment 2,C004-AS,assignment,61.5,100,2026-03-08
GR01052,S0096,C004,G06,Assignment 3,C004-AS,assignment,74.4,100,2026-03-22
GR01053,S0096,C004,G06,Practical 1,C004-PR,practical,65.8,100,2026-04-05
GR01054,S0096,C004,G06,Practical 2,C004-PR,practical,64.6,100,2026-04-18
GR01055,S0096,C004,G06,Midterm Exam,C004-EX,exam,85.2,100,2026-05-02
GR01056,S0096,C004,G06,Final Exam,C004-EXF,exam,80.9,100,2026-05-16
GR01057,S0097,C001,G02,Quiz 1,C001-QZ,quiz,70.7,100,2025-12-24
GR01058,S0097,C001,G02,Quiz 2,C001-QZ,quiz,70.2,100,2026-01-07
GR01059,S0097,C001,G02,Quiz 3,C001-QZ,quiz,76.9,100,2026-01-21
GR01060,S0097,C001,G02,Quiz 4,C001-QZ,quiz,63.4,100,2026-02-05
GR01061,S0097,C001,G02,Assignment 1,C001-AS,assignment,73.1,100,2026-02-19
GR01062,S0097,C001,G02,Assignment 2,C001-AS,assignment,48.8,100,2026-03-05
GR01063,S0097,C001,G02,Assignment 3,C001-AS,assignment,50.0,100,2026-03-19
GR01064,S0097,C001,G02,Practical 1,C001-PR,practical,65.3,100,2026-04-03
GR01065,S0097,C001,G02,Practical 2,C001-PR,practical,76.9,100,2026-04-17
GR01066,S0097,C001,G02,Midterm Exam,C001-EX,exam,71.5,100,2026-05-01
GR01067,S0097,C001,G02,Final Exam,C001-EXF,exam,72.7,100,2026-05-15
GR01068,S0098,C001,G02,Quiz 1,C001-QZ,quiz,66.6,100,2025-12-29
GR01069,S0098,C001,G02,Quiz 2,C001-QZ,quiz,77.1,100,2026-01-12
GR01070,S0098,C001,G02,Quiz 3,C001-QZ,quiz,71.2,100,2026-01-26
GR01071,S0098,C001,G02,Quiz 4,C001-QZ,quiz,67.7,100,2026-02-09
GR01072,S0098,C001,G02,Assignment 1,C001-AS,assignment,73.6,100,2026-02-22
GR01073,S0098,C001,G02,Assignment 2,C001-AS,assignment,64.5,100,2026-03-08
GR01074,S0098,C001,G02,Assignment 3,C001-AS,assignment,77.6,100,2026-03-22
GR01075,S0098,C001,G02,Practical 1,C001-PR,practical,79.3,100,2026-04-05
GR01076,S0098,C001,G02,Practical 2,C001-PR,practical,80.0,100,2026-04-18
GR01077,S0098,C001,G02,Midterm Exam,C001-EX,exam,52.8,100,2026-05-02
GR01078,S0098,C001,G02,Final Exam,C001-EXF,exam,85.9,100,2026-05-16
GR01079,S0099,C002,G04,Quiz 1,C002-QZ,quiz,79.5,100,2025-12-30
GR01080,S0099,C002,G04,Quiz 2,C002-QZ,quiz,72.4,100,2026-01-13
GR01081,S0099,C002,G04,Quiz 3,C002-QZ,quiz,71.4,100,2026-01-27
GR01082,S0099,C002,G04,Quiz 4,C002-QZ,quiz,75.4,100,2026-02-09
GR01083,S0099,C002,G04,Assignment 1,C002-AS,assignment,71.2,100,2026-02-23
GR01084,S0099,C002,G04,Assignment 2,C002-AS,assignment,56.1,100,2026-03-09
GR01085,S0099,C002,G04,Assignment 3,C002-AS,assignment,75.7,100,2026-03-22
GR01086,S0099,C002,G04,Practical 1,C002-PR,practical,78.9,100,2026-04-05
GR01087,S0099,C002,G04,Practical 2,C002-PR,practical,71.4,100,2026-04-19
GR01088,S0099,C002,G04,Midterm Exam,C002-EX,exam,74.4,100,2026-05-02
GR01089,S0099,C002,G04,Final Exam,C002-EXF,exam,75.5,100,2026-05-16
GR01090,S0100,C001,G02,Quiz 1,C001-QZ,quiz,93.4,100,2025-12-26
GR01091,S0100,C001,G02,Quiz 2,C001-QZ,quiz,56.8,100,2026-01-09
GR01092,S0100,C001,G02,Quiz 3,C001-QZ,quiz,86.0,100,2026-01-23
GR01093,S0100,C001,G02,Quiz 4,C001-QZ,quiz,89.9,100,2026-02-06
GR01094,S0100,C001,G02,Assignment 1,C001-AS,assignment,73.4,100,2026-02-20
GR01095,S0100,C001,G02,Assignment 2,C001-AS,assignment,65.7,100,2026-03-06
GR01096,S0100,C001,G02,Assignment 3,C001-AS,assignment,71.2,100,2026-03-20
GR01097,S0100,C001,G02,Practical 1,C001-PR,practical,87.5,100,2026-04-03
GR01098,S0100,C001,G02,Practical 2,C001-PR,practical,80.8,100,2026-04-17
GR01099,S0100,C001,G02,Midterm Exam,C001-EX,exam,89.2,100,2026-05-01
GR01100,S0100,C001,G02,Final Exam,C001-EXF,exam,97.2,100,2026-05-15
GR01101,S0101,C002,G03,Quiz 1,C002-QZ,quiz,83.9,100,2025-12-27
GR01102,S0101,C002,G03,Quiz 2,C002-QZ,quiz,74.2,100,2026-01-10
GR01103,S0101,C002,G03,Quiz 3,C002-QZ,quiz,83.3,100,2026-01-24
GR01104,S0101,C002,G03,Quiz 4,C002-QZ,quiz,82.3,100,2026-02-07
GR01105,S0101,C002,G03,Assignment 1,C002-AS,assignment,74.1,100,2026-02-21
GR01106,S0101,C002,G03,Assignment 2,C002-AS,assignment,64.7,100,2026-03-07
GR01107,S0101,C002,G03,Assignment 3,C002-AS,assignment,61.3,100,2026-03-21
GR01108,S0101,C002,G03,Practical 1,C002-PR,practical,80.8,100,2026-04-04
GR01109,S0101,C002,G03,Practical 2,C002-PR,practical,94.7,100,2026-04-18
GR01110,S0101,C002,G03,Midterm Exam,C002-EX,exam,67.7,100,2026-05-02
GR01111,S0101,C002,G03,Final Exam,C002-EXF,exam,69.2,100,2026-05-16
GR01112,S0102,C001,G02,Quiz 1,C001-QZ,quiz,62.8,100,2025-12-26
GR01113,S0102,C001,G02,Quiz 2,C001-QZ,quiz,60.7,100,2026-01-09
GR01114,S0102,C001,G02,Quiz 3,C001-QZ,quiz,59.7,100,2026-01-23
GR01115,S0102,C001,G02,Quiz 4,C001-QZ,quiz,65.2,100,2026-02-06
GR01116,S0102,C001,G02,Assignment 1,C001-AS,assignment,90.5,100,2026-02-20
GR01117,S0102,C001,G02,Assignment 2,C001-AS,assignment,58.3,100,2026-03-06
GR01118,S0102,C001,G02,Assignment 3,C001-AS,assignment,67.4,100,2026-03-20
GR01119,S0102,C001,G02,Practical 1,C001-PR,practical,70.6,100,2026-04-03
GR01120,S0102,C001,G02,Practical 2,C001-PR,practical,85.3,100,2026-04-17
GR01121,S0102,C001,G02,Midterm Exam,C001-EX,exam,64.0,100,2026-05-01
GR01122,S0102,C001,G02,Final Exam,C001-EXF,exam,68.2,100,2026-05-15
GR01123,S0103,C002,G04,Quiz 1,C002-QZ,quiz,91.1,100,2025-12-16
GR01124,S0103,C002,G04,Quiz 2,C002-QZ,quiz,82.8,100,2025-12-31
GR01125,S0103,C002,G04,Quiz 3,C002-QZ,quiz,69.5,100,2026-01-15
GR01126,S0103,C002,G04,Quiz 4,C002-QZ,quiz,66.2,100,2026-01-30
GR01127,S0103,C002,G04,Assignment 1,C002-AS,assignment,68.6,100,2026-02-14
GR01128,S0103,C002,G04,Assignment 2,C002-AS,assignment,66.5,100,2026-03-01
GR01129,S0103,C002,G04,Assignment 3,C002-AS,assignment,72.9,100,2026-03-16
GR01130,S0103,C002,G04,Practical 1,C002-PR,practical,79.5,100,2026-03-31
GR01131,S0103,C002,G04,Practical 2,C002-PR,practical,68.4,100,2026-04-15
GR01132,S0103,C002,G04,Midterm Exam,C002-EX,exam,83.4,100,2026-04-30
GR01133,S0103,C002,G04,Final Exam,C002-EXF,exam,94.6,100,2026-05-15
GR01134,S0104,C001,G02,Quiz 1,C001-QZ,quiz,64.5,100,2025-12-29
GR01135,S0104,C001,G02,Quiz 2,C001-QZ,quiz,93.4,100,2026-01-12
GR01136,S0104,C001,G02,Quiz 3,C001-QZ,quiz,81.3,100,2026-01-26
GR01137,S0104,C001,G02,Quiz 4,C001-QZ,quiz,96.7,100,2026-02-09
GR01138,S0104,C001,G02,Assignment 1,C001-AS,assignment,75.8,100,2026-02-22
GR01139,S0104,C001,G02,Assignment 2,C001-AS,assignment,75.1,100,2026-03-08
GR01140,S0104,C001,G02,Assignment 3,C001-AS,assignment,83.9,100,2026-03-22
GR01141,S0104,C001,G02,Practical 1,C001-PR,practical,88.0,100,2026-04-05
GR01142,S0104,C001,G02,Practical 2,C001-PR,practical,74.5,100,2026-04-18
GR01143,S0104,C001,G02,Midterm Exam,C001-EX,exam,89.8,100,2026-05-02
GR01144,S0104,C001,G02,Final Exam,C001-EXF,exam,70.3,100,2026-05-16
GR01145,S0105,C006,G09,Quiz 1,C006-QZ,quiz,76.5,100,2025-12-23
GR01146,S0105,C006,G09,Quiz 2,C006-QZ,quiz,69.8,100,2026-01-06
GR01147,S0105,C006,G09,Quiz 3,C006-QZ,quiz,70.3,100,2026-01-21
GR01148,S0105,C006,G09,Quiz 4,C006-QZ,quiz,62.9,100,2026-02-04
GR01149,S0105,C006,G09,Assignment 1,C006-AS,assignment,67.2,100,2026-02-18
GR01150,S0105,C006,G09,Assignment 2,C006-AS,assignment,80.6,100,2026-03-05
GR01151,S0105,C006,G09,Assignment 3,C006-AS,assignment,49.6,100,2026-03-19
GR01152,S0105,C006,G09,Practical 1,C006-PR,practical,75.4,100,2026-04-02
GR01153,S0105,C006,G09,Practical 2,C006-PR,practical,66.2,100,2026-04-17
GR01154,S0105,C006,G09,Midterm Exam,C006-EX,exam,85.8,100,2026-05-01
GR01155,S0105,C006,G09,Final Exam,C006-EXF,exam,83.6,100,2026-05-15
GR01156,S0106,C005,G07,Quiz 1,C005-QZ,quiz,48.5,100,2025-12-30
GR01157,S0106,C005,G07,Quiz 2,C005-QZ,quiz,65.0,100,2026-01-13
GR01158,S0106,C005,G07,Quiz 3,C005-QZ,quiz,54.7,100,2026-01-27
GR01159,S0106,C005,G07,Quiz 4,C005-QZ,quiz,56.0,100,2026-02-09
GR01160,S0106,C005,G07,Assignment 1,C005-AS,assignment,54.7,100,2026-02-23
GR01161,S0106,C005,G07,Assignment 2,C005-AS,assignment,54.2,100,2026-03-09
GR01162,S0106,C005,G07,Assignment 3,C005-AS,assignment,49.4,100,2026-03-22
GR01163,S0106,C005,G07,Practical 1,C005-PR,practical,72.6,100,2026-04-05
GR01164,S0106,C005,G07,Practical 2,C005-PR,practical,46.4,100,2026-04-19
GR01165,S0106,C005,G07,Midterm Exam,C005-EX,exam,49.9,100,2026-05-02
GR01166,S0106,C005,G07,Final Exam,C005-EXF,exam,68.5,100,2026-05-16
GR01167,S0107,C002,G03,Quiz 1,C002-QZ,quiz,78.1,100,2025-12-23
GR01168,S0107,C002,G03,Quiz 2,C002-QZ,quiz,67.3,100,2026-01-06
GR01169,S0107,C002,G03,Quiz 3,C002-QZ,quiz,77.3,100,2026-01-21
GR01170,S0107,C002,G03,Quiz 4,C002-QZ,quiz,75.2,100,2026-02-04
GR01171,S0107,C002,G03,Assignment 1,C002-AS,assignment,76.4,100,2026-02-18
GR01172,S0107,C002,G03,Assignment 2,C002-AS,assignment,58.0,100,2026-03-05
GR01173,S0107,C002,G03,Assignment 3,C002-AS,assignment,45.7,100,2026-03-19
GR01174,S0107,C002,G03,Practical 1,C002-PR,practical,57.8,100,2026-04-02
GR01175,S0107,C002,G03,Practical 2,C002-PR,practical,69.9,100,2026-04-17
GR01176,S0107,C002,G03,Midterm Exam,C002-EX,exam,69.9,100,2026-05-01
GR01177,S0107,C002,G03,Final Exam,C002-EXF,exam,70.8,100,2026-05-15
GR01178,S0108,C006,G09,Quiz 1,C006-QZ,quiz,80.8,100,2025-12-29
GR01179,S0108,C006,G09,Quiz 2,C006-QZ,quiz,89.0,100,2026-01-12
GR01180,S0108,C006,G09,Quiz 3,C006-QZ,quiz,62.1,100,2026-01-26
GR01181,S0108,C006,G09,Quiz 4,C006-QZ,quiz,77.5,100,2026-02-09
GR01182,S0108,C006,G09,Assignment 1,C006-AS,assignment,72.6,100,2026-02-22
GR01183,S0108,C006,G09,Assignment 2,C006-AS,assignment,76.4,100,2026-03-08
GR01184,S0108,C006,G09,Assignment 3,C006-AS,assignment,81.9,100,2026-03-22
GR01185,S0108,C006,G09,Practical 1,C006-PR,practical,88.0,100,2026-04-05
GR01186,S0108,C006,G09,Practical 2,C006-PR,practical,79.9,100,2026-04-18
GR01187,S0108,C006,G09,Midterm Exam,C006-EX,exam,71.0,100,2026-05-02
GR01188,S0108,C006,G09,Final Exam,C006-EXF,exam,78.5,100,2026-05-16
GR01189,S0109,C002,G04,Quiz 1,C002-QZ,quiz,84.2,100,2025-12-30
GR01190,S0109,C002,G04,Quiz 2,C002-QZ,quiz,74.7,100,2026-01-13
GR01191,S0109,C002,G04,Quiz 3,C002-QZ,quiz,60.8,100,2026-01-27
GR01192,S0109,C002,G04,Quiz 4,C002-QZ,quiz,86.3,100,2026-02-09
GR01193,S0109,C002,G04,Assignment 1,C002-AS,assignment,72.1,100,2026-02-23
GR01194,S0109,C002,G04,Assignment 2,C002-AS,assignment,78.5,100,2026-03-09
GR01195,S0109,C002,G04,Assignment 3,C002-AS,assignment,65.2,100,2026-03-22
GR01196,S0109,C002,G04,Practical 1,C002-PR,practical,86.5,100,2026-04-05
GR01197,S0109,C002,G04,Practical 2,C002-PR,practical,74.6,100,2026-04-19
GR01198,S0109,C002,G04,Midterm Exam,C002-EX,exam,69.5,100,2026-05-02
GR01199,S0109,C002,G04,Final Exam,C002-EXF,exam,78.1,100,2026-05-16
GR01200,S0110,C006,G08,Quiz 1,C006-QZ,quiz,50.7,100,2025-12-26
GR01201,S0110,C006,G08,Quiz 2,C006-QZ,quiz,53.4,100,2026-01-09
GR01202,S0110,C006,G08,Quiz 3,C006-QZ,quiz,62.4,100,2026-01-23
GR01203,S0110,C006,G08,Quiz 4,C006-QZ,quiz,51.6,100,2026-02-06
GR01204,S0110,C006,G08,Assignment 1,C006-AS,assignment,71.0,100,2026-02-20
GR01205,S0110,C006,G08,Assignment 2,C006-AS,assignment,63.9,100,2026-03-06
GR01206,S0110,C006,G08,Assignment 3,C006-AS,assignment,62.5,100,2026-03-20
GR01207,S0110,C006,G08,Practical 1,C006-PR,practical,80.1,100,2026-04-03
GR01208,S0110,C006,G08,Practical 2,C006-PR,practical,72.1,100,2026-04-17
GR01209,S0110,C006,G08,Midterm Exam,C006-EX,exam,63.9,100,2026-05-01
GR01210,S0110,C006,G08,Final Exam,C006-EXF,exam,74.4,100,2026-05-15
GR01211,S0111,C004,G06,Quiz 1,C004-QZ,quiz,84.7,100,2025-12-18
GR01212,S0111,C004,G06,Quiz 2,C004-QZ,quiz,89.0,100,2026-01-02
GR01213,S0111,C004,G06,Quiz 3,C004-QZ,quiz,73.6,100,2026-01-17
GR01214,S0111,C004,G06,Quiz 4,C004-QZ,quiz,71.7,100,2026-02-01
GR01215,S0111,C004,G06,Assignment 1,C004-AS,assignment,58.2,100,2026-02-15
GR01216,S0111,C004,G06,Assignment 2,C004-AS,assignment,81.6,100,2026-03-02
GR01217,S0111,C004,G06,Assignment 3,C004-AS,assignment,54.8,100,2026-03-17
GR01218,S0111,C004,G06,Practical 1,C004-PR,practical,78.7,100,2026-04-01
GR01219,S0111,C004,G06,Practical 2,C004-PR,practical,68.6,100,2026-04-15
GR01220,S0111,C004,G06,Midterm Exam,C004-EX,exam,76.6,100,2026-04-30
GR01221,S0111,C004,G06,Final Exam,C004-EXF,exam,73.5,100,2026-05-15
GR01222,S0112,C003,G05,Quiz 1,C003-QZ,quiz,86.9,100,2025-12-31
GR01223,S0112,C003,G05,Quiz 2,C003-QZ,quiz,78.3,100,2026-01-14
GR01224,S0112,C003,G05,Quiz 3,C003-QZ,quiz,81.2,100,2026-01-27
GR01225,S0112,C003,G05,Quiz 4,C003-QZ,quiz,72.1,100,2026-02-10
GR01226,S0112,C003,G05,Assignment 1,C003-AS,assignment,72.3,100,2026-02-23
GR01227,S0112,C003,G05,Assignment 2,C003-AS,assignment,71.7,100,2026-03-09
GR01228,S0112,C003,G05,Assignment 3,C003-AS,assignment,72.2,100,2026-03-23
GR01229,S0112,C003,G05,Practical 1,C003-PR,practical,85.4,100,2026-04-05
GR01230,S0112,C003,G05,Practical 2,C003-PR,practical,73.9,100,2026-04-19
GR01231,S0112,C003,G05,Midterm Exam,C003-EX,exam,74.4,100,2026-05-02
GR01232,S0112,C003,G05,Final Exam,C003-EXF,exam,97.7,100,2026-05-16
GR01233,S0113,C002,G04,Quiz 1,C002-QZ,quiz,71.7,100,2025-12-16
GR01234,S0113,C002,G04,Quiz 2,C002-QZ,quiz,56.0,100,2025-12-31
GR01235,S0113,C002,G04,Quiz 3,C002-QZ,quiz,69.7,100,2026-01-15
GR01236,S0113,C002,G04,Quiz 4,C002-QZ,quiz,59.2,100,2026-01-30
GR01237,S0113,C002,G04,Assignment 1,C002-AS,assignment,84.7,100,2026-02-14
GR01238,S0113,C002,G04,Assignment 2,C002-AS,assignment,49.4,100,2026-03-01
GR01239,S0113,C002,G04,Assignment 3,C002-AS,assignment,61.9,100,2026-03-16
GR01240,S0113,C002,G04,Practical 1,C002-PR,practical,68.4,100,2026-03-31
GR01241,S0113,C002,G04,Practical 2,C002-PR,practical,78.8,100,2026-04-15
GR01242,S0113,C002,G04,Midterm Exam,C002-EX,exam,76.0,100,2026-04-30
GR01243,S0113,C002,G04,Final Exam,C002-EXF,exam,66.2,100,2026-05-15
GR01244,S0114,C006,G08,Quiz 1,C006-QZ,quiz,84.7,100,2025-12-23
GR01245,S0114,C006,G08,Quiz 2,C006-QZ,quiz,89.5,100,2026-01-06
GR01246,S0114,C006,G08,Quiz 3,C006-QZ,quiz,76.4,100,2026-01-21
GR01247,S0114,C006,G08,Quiz 4,C006-QZ,quiz,92.0,100,2026-02-04
GR01248,S0114,C006,G08,Assignment 1,C006-AS,assignment,74.1,100,2026-02-18
GR01249,S0114,C006,G08,Assignment 2,C006-AS,assignment,92.3,100,2026-03-05
GR01250,S0114,C006,G08,Assignment 3,C006-AS,assignment,77.5,100,2026-03-19
GR01251,S0114,C006,G08,Practical 1,C006-PR,practical,70.9,100,2026-04-02
GR01252,S0114,C006,G08,Practical 2,C006-PR,practical,85.5,100,2026-04-17
GR01253,S0114,C006,G08,Midterm Exam,C006-EX,exam,90.0,100,2026-05-01
GR01254,S0114,C006,G08,Final Exam,C006-EXF,exam,81.8,100,2026-05-15
GR01255,S0115,C005,G07,Quiz 1,C005-QZ,quiz,58.9,100,2025-12-27
GR01256,S0115,C005,G07,Quiz 2,C005-QZ,quiz,41.0,100,2026-01-10
GR01257,S0115,C005,G07,Quiz 3,C005-QZ,quiz,45.6,100,2026-01-24
GR01258,S0115,C005,G07,Quiz 4,C005-QZ,quiz,42.7,100,2026-02-07
GR01259,S0115,C005,G07,Assignment 1,C005-AS,assignment,52.8,100,2026-02-21
GR01260,S0115,C005,G07,Assignment 2,C005-AS,assignment,45.7,100,2026-03-07
GR01261,S0115,C005,G07,Assignment 3,C005-AS,assignment,53.2,100,2026-03-21
GR01262,S0115,C005,G07,Practical 1,C005-PR,practical,47.7,100,2026-04-04
GR01263,S0115,C005,G07,Practical 2,C005-PR,practical,50.8,100,2026-04-18
GR01264,S0115,C005,G07,Midterm Exam,C005-EX,exam,51.7,100,2026-05-02
GR01265,S0115,C005,G07,Final Exam,C005-EXF,exam,47.6,100,2026-05-16
GR01266,S0116,C006,G09,Quiz 1,C006-QZ,quiz,92.2,100,2025-12-25
GR01267,S0116,C006,G09,Quiz 2,C006-QZ,quiz,75.7,100,2026-01-08
GR01268,S0116,C006,G09,Quiz 3,C006-QZ,quiz,84.2,100,2026-01-22
GR01269,S0116,C006,G09,Quiz 4,C006-QZ,quiz,83.4,100,2026-02-05
GR01270,S0116,C006,G09,Assignment 1,C006-AS,assignment,87.3,100,2026-02-19
GR01271,S0116,C006,G09,Assignment 2,C006-AS,assignment,53.9,100,2026-03-06
GR01272,S0116,C006,G09,Assignment 3,C006-AS,assignment,59.9,100,2026-03-20
GR01273,S0116,C006,G09,Practical 1,C006-PR,practical,77.4,100,2026-04-03
GR01274,S0116,C006,G09,Practical 2,C006-PR,practical,84.0,100,2026-04-17
GR01275,S0116,C006,G09,Midterm Exam,C006-EX,exam,87.6,100,2026-05-01
GR01276,S0116,C006,G09,Final Exam,C006-EXF,exam,78.1,100,2026-05-15
GR01277,S0117,C006,G08,Quiz 1,C006-QZ,quiz,57.8,100,2025-12-20
GR01278,S0117,C006,G08,Quiz 2,C006-QZ,quiz,68.0,100,2026-01-04
GR01279,S0117,C006,G08,Quiz 3,C006-QZ,quiz,66.7,100,2026-01-18
GR01280,S0117,C006,G08,Quiz 4,C006-QZ,quiz,87.3,100,2026-02-02
GR01281,S0117,C006,G08,Assignment 1,C006-AS,assignment,62.0,100,2026-02-16
GR01282,S0117,C006,G08,Assignment 2,C006-AS,assignment,47.8,100,2026-03-03
GR01283,S0117,C006,G08,Assignment 3,C006-AS,assignment,56.9,100,2026-03-18
GR01284,S0117,C006,G08,Practical 1,C006-PR,practical,74.0,100,2026-04-01
GR01285,S0117,C006,G08,Practical 2,C006-PR,practical,65.9,100,2026-04-16
GR01286,S0117,C006,G08,Midterm Exam,C006-EX,exam,62.9,100,2026-04-30
GR01287,S0117,C006,G08,Final Exam,C006-EXF,exam,60.7,100,2026-05-15
GR01288,S0118,C004,G06,Quiz 1,C004-QZ,quiz,66.7,100,2025-12-17
GR01289,S0118,C004,G06,Quiz 2,C004-QZ,quiz,67.7,100,2026-01-01
GR01290,S0118,C004,G06,Quiz 3,C004-QZ,quiz,73.7,100,2026-01-16
GR01291,S0118,C004,G06,Quiz 4,C004-QZ,quiz,86.5,100,2026-01-31
GR01292,S0118,C004,G06,Assignment 1,C004-AS,assignment,71.5,100,2026-02-15
GR01293,S0118,C004,G06,Assignment 2,C004-AS,assignment,58.6,100,2026-03-02
GR01294,S0118,C004,G06,Assignment 3,C004-AS,assignment,72.1,100,2026-03-16
GR01295,S0118,C004,G06,Practical 1,C004-PR,practical,69.3,100,2026-03-31
GR01296,S0118,C004,G06,Practical 2,C004-PR,practical,76.2,100,2026-04-15
GR01297,S0118,C004,G06,Midterm Exam,C004-EX,exam,76.4,100,2026-04-30
GR01298,S0118,C004,G06,Final Exam,C004-EXF,exam,64.5,100,2026-05-15
GR01299,S0119,C002,G04,Quiz 1,C002-QZ,quiz,100.0,100,2025-12-28
GR01300,S0119,C002,G04,Quiz 2,C002-QZ,quiz,81.2,100,2026-01-11
GR01301,S0119,C002,G04,Quiz 3,C002-QZ,quiz,91.5,100,2026-01-25
GR01302,S0119,C002,G04,Quiz 4,C002-QZ,quiz,100.0,100,2026-02-08
GR01303,S0119,C002,G04,Assignment 1,C002-AS,assignment,63.2,100,2026-02-22
GR01304,S0119,C002,G04,Assignment 2,C002-AS,assignment,79.7,100,2026-03-08
GR01305,S0119,C002,G04,Assignment 3,C002-AS,assignment,78.6,100,2026-03-21
GR01306,S0119,C002,G04,Practical 1,C002-PR,practical,76.6,100,2026-04-04
GR01307,S0119,C002,G04,Practical 2,C002-PR,practical,81.0,100,2026-04-18
GR01308,S0119,C002,G04,Midterm Exam,C002-EX,exam,87.3,100,2026-05-02
GR01309,S0119,C002,G04,Final Exam,C002-EXF,exam,86.4,100,2026-05-16
GR01310,S0120,C002,G04,Quiz 1,C002-QZ,quiz,57.9,100,2025-12-20
GR01311,S0120,C002,G04,Quiz 2,C002-QZ,quiz,46.6,100,2026-01-04
GR01312,S0120,C002,G04,Quiz 3,C002-QZ,quiz,65.4,100,2026-01-18
GR01313,S0120,C002,G04,Quiz 4,C002-QZ,quiz,51.5,100,2026-02-02
GR01314,S0120,C002,G04,Assignment 1,C002-AS,assignment,51.2,100,2026-02-16
GR01315,S0120,C002,G04,Assignment 2,C002-AS,assignment,34.6,100,2026-03-03
GR01316,S0120,C002,G04,Assignment 3,C002-AS,assignment,50.9,100,2026-03-18
